CB&GN	Shonen	P/D	Title
5	-	(P)	Kimetsu no Yaiba 19
682	-	(P)	Dr. STONE 14
1157	-	(P)	Seraph of the End 20
1351	-	(P)	Platinum End 12
1566	-	(P)	Yuuna-san & the Haunted Hotsprings 20
1800	-	(P)	Act-Age 10
2349	-	(P)	2.5D Seduction 3
2371	-	(P)	Yu-Gi-Oh OCG Structures 1
2869	-	(P)	Saotome Shimai wa Manga no Tame nara!? 6
7997	-	(P)	Akuma no Memumemu-chan 9
9594	-	(P)	'Tis Time for Torture, Princess 2
17072	-	(P)	Tokedase! Mizore-chan 5
17325	-	(P)	Majo no Kaigashuu 7
18201	-	(P)	Yui Kamio Let's Loose 4
28649	-	(P)	Mission: Yozakura Family 1
32910	-	(P)	Do Monster Girls Dream of their First Love? 2
37778	-	(P)	Curtain's Up, I'm Off 3
40068	-	(P)	There Is a Panting Voice from the Next Room... 2
41747	-	(P)	MARVEL×SHONEN JUMP+ SUPER COLLABORATION
42867	-	(P)	Dark Gathering 3
44225	-	(P)	Mitama Security: Spirit Busters 1
47598	-	(P)	Jimoto ga Japan 5
70647	-	(P)	Hina Change 2
89084	-	(P)	Sweet! 1
99579	-	(P)	Spotless Love: This Love Cannot Be Any More Beautiful 3
27	25	(D)	Kimetsu no Yaiba 19
127	53	(D)	ONE PIECE (Monochrome Edition) 95
147	61	(D)	Dr. STONE 14
267	102	(D)	Act-Age 10
616	203	(D)	2.5D Seduction 3
909	287	(D)	Seraph of the End 20
1066	329	(D)	Saotome Shimai wa Manga no Tame nara!? 6
1153	353	(D)	Platinum End 12
1267	371	(D)	Yuuna-san & the Haunted Hotsprings 20
5264	1554	(D)	2.5D Seduction (Semi-Colour Edition) 3
8092	2357	(D)	'Tis Time for Torture, Princess 2
9081	2609	(D)	Akuma no Memumemu-chan 9
14086	3975	(D)	Tokedase! Mizore-chan 5
16478	4553	(D)	Yui Kamio Let's Loose 4
17603	4813	(D)	Dark Gathering 3
20843	5648	(D)	There Is a Panting Voice from the Next Room... 2
23646	6281	(D)	Majo no Kaigashuu 7
24249	6425	(D)	Sweet! 1
31289	7791	(D)	Spotless Love: This Love Cannot Be Any More Beautiful 3
40382	9411	(D)	Hina Change 2
48076	10712	(D)	Mission: Yozakura Family 1
51673	11286	(D)	Mitama Security: Spirit Busters 1
54773	11761	(D)	Do Monster Girls Dream of their First Love? 2
69996	14034	(D)	Curtain's Up, I'm Off 3
103544	18190	(D)	Yu-Gi-Oh OCG Structures 1
173841	24575	(D)	Jimoto ga Japan 5
